Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Filename,Channel_Number
8,6,19,13,1.77,1.518,2.064,0.546,4.9275071380234165e-14,5.665252931335126,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,7,10,3,2.894,2.658,3.08,0.422,4.7092918367374205e-14,5.414366460621952,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,2.824,2.668,2.99,0.322,4.972418685257475e-14,5.803888698522558,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,6,20,14,1.77,1.444,1.894,0.45,3.833602458254654e-14,4.021701862654899,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,6,15,9,0.852,0.762,0.948,0.186,1.3324363510863052e-13,13.021502532364572,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,14,4,1.58,1.476,1.804,0.328,4.784722675523352e-14,4.675966576954633,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,18,8,1.704,1.472,1.806,0.334,4.582061506628347e-14,4.477911868988524,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,7,10,3,1.274,1.002,1.93,0.928,4.9464726003633985e-14,5.687057900482022,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,1.126,0.986,1.284,0.298,7.068044899678519e-14,8.249938010151695,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,8,14,6,1.86,1.768,1.956,0.188,1.4040891679023138e-13,14.72982158003197,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,2.306,2.088,2.48,0.392,6.159388123073934e-14,7.081570993618627,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,0.652,0.492,0.774,0.282,6.690516582807386e-14,7.809280762571758,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,8,15,7,0.124,0.03,0.222,0.192,7.677473133550009e-14,8.054175762329393,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,9,14,5,1.744,1.626,1.856,0.23,8.576536066635983e-14,8.997352085907297,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,8,15,7,2.534,2.424,2.632,0.208,6.092330107737721e-14,5.953852269283306,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,2.322,2.076,2.476,0.4,5.0505647241887875e-14,5.806734684931539,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,7,16,9,1.676,1.578,1.776,0.198,4.6242205808195773e-14,5.311223991775069,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,7,21,14,0.146,0.044,0.242,0.198,4.501672798887444e-14,4.722551719301382,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,7,30,23,0.168,0.084,0.266,0.182,4.423265006873341e-14,4.322724792172085,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,15,5,0.866,0.644,1.22,0.576,4.198060847550395e-14,4.1026394928981675,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,17,7,1.724,1.638,1.95,0.312,4.223619652030776e-14,4.127617349213342,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,2.18,2.006,2.338,0.332,4.72076283868944e-14,5.42755489964674,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,7,14,7,2.072,1.988,2.154,0.166,3.818267649766327e-14,4.005614636988563,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,9,15,6,1.322,1.134,1.426,0.292,6.09386660945091e-14,5.955353846520595,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,5,10,5,0.372,0.246,0.5,0.254,5.002692972189106e-14,5.7516955798125275,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,5,19,14,0.298,0.146,0.502,0.356,4.382416892575045e-14,5.115228922786016,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,1.824,1.666,2.068,0.402,4.0707562102673656e-14,4.680229354719661,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,2.552,2.382,2.756,0.374,6.05722028621077e-14,6.964106600150617,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,6,11,5,1.726,1.594,1.874,0.28,3.506358817369597e-14,4.09267955923196,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,11,5,1.02,0.868,1.148,0.28,4.264138207749239e-14,4.902564482282985,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,17,11,2.424,2.232,2.572,0.34,5.3131638115812277e-14,6.108650077024245,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,6,11,5,1.068,0.954,1.208,0.254,4.273689326646277e-14,4.98832032335878,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,6,16,10,2.422,2.192,2.606,0.414,6.011900264909737e-14,5.875250585892695,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,12,6,0.898,0.712,1.13,0.418,3.978281099456208e-14,4.573908881116329,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,7,13,6,3.204,3.106,3.25,0.2,1.1513357310473613e-13,13.223854378163848,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,15,5,0.402,0.254,0.58,0.326,9.111830515929896e-14,8.904719842034144,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,9,20,11,1.198,1.084,1.314,0.23,4.747574789562368e-14,4.639663057411761,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,2.728,2.59,2.864,0.274,3.895232940280524e-14,4.546579817832917,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,9,17,8,1.388,1.302,1.476,0.174,7.29236370922871e-14,7.126609269495569,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,4,14,10,2.214,2.118,2.316,0.198,6.036373802422932e-14,5.899167843211903,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,0.234,0.092,0.452,0.36,4.202863109470967e-14,4.832115283445685,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,6,11,5,0.834,0.672,0.964,0.292,3.892514439954873e-14,4.543406739635831,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,2.114,1.998,2.25,0.252,3.443070190122628e-14,4.018808034794016,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,9,13,4,1.818,1.692,1.978,0.286,8.473022993473968e-14,8.88876004391076,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,14,4,3.132,3.022,3.246,0.224,4.252909539402292e-14,4.156241481410721,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,1.208,1.05,1.394,0.344,1.246056972983451e-13,14.54418149593009,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
